article_date,sentiment_score,article_count,total_words
2016-08-06T00:00:00Z,0.06896551724137931,1,525
2016-11-18T00:00:00Z,-0.06666666666666667,1,413
2016-05-21T00:00:00Z,1.2,1,95
2016-03-10T00:00:00Z,0.6666666666666666,1,96
2016-04-24T00:00:00Z,-1.3255813953488371,1,690
2016-10-20T00:00:00Z,0.36363636363636365,1,856
2016-05-02T00:00:00Z,0.5625,1,730
2016-05-13T00:00:00Z,-1.1666666666666667,1,124
2016-09-03T00:00:00Z,-0.4166666666666667,2,816
2016-10-25T00:00:00Z,0.29411764705882354,1,473
2016-10-12T00:00:00Z,-0.2848101265822785,1,2238
2016-08-31T00:00:00Z,-1.1511627906976745,1,2287
2016-03-22T00:00:00Z,0.24705882352941178,1,1241
2016-07-08T00:00:00Z,0,1,115
2016-11-05T00:00:00Z,2.5,1,72
2016-04-11T00:00:00Z,-0.2,1,44
2016-02-28T00:00:00Z,2.25,1,52
2016-06-18T00:00:00Z,-3,1,65
2016-03-25T00:00:00Z,0.14285714285714285,1,866
2016-03-07T00:00:00Z,0.5151515151515151,1,688
